date,tqqq_open,tqqq_close,bil_open,bil_close
2010-02-11,0.1933787626,0.2055819780,73.7005691528,73.7005691528
2010-02-12,0.1999879014,0.2064231485,73.7005691528,73.7005691528
2010-02-16,0.2112757943,0.2144192755,73.7005691528,73.7005691528
2010-02-17,0.2172908911,0.2180579901,73.7005893905,73.6523895264
2010-02-18,0.2178355119,0.2221919000,73.6684385732,73.6845092773
2010-02-19,0.2206814702,0.2221919000,73.6845248122,73.6523895264
2010-02-22,0.2248154314,0.2206320465,73.6845092773,73.6845092773
2010-02-23,0.2194191647,0.2120181620,73.6845248122,73.6523895264
2010-02-24,0.2157557209,0.2184296250,73.6684385732,73.6845092773
2010-02-25,0.2114487417,0.2183050811,73.6684385732,73.6845092773
2010-02-26,0.2176615510,0.2210284173,73.6684385732,73.6845092773
2010-03-01,0.2238259009,0.2305092514,73.6845248122,73.6523895264
2010-03-02,0.2325387226,0.2318951935,73.6845430015,73.6684722900
2010-03-03,0.2344949361,0.2331831753,73.6845248122,73.6523895264
2010-03-04,0.2339996778,0.2357572615,73.6684541047,73.6523895264
2010-03-05,0.2407818869,0.2461781651,73.6523895264,73.6523895264
2010-03-08,0.2464015754,0.2474909276,73.6684541047,73.6523895264
2010-03-09,0.2461286962,0.2518719435,73.6523895264,73.6523895264
2010-03-10,0.2522189416,0.2580353916,73.6524077078,73.6684722900
2010-03-11,0.2564764283,0.2604117095,73.6684541047,73.6523895264
2010-03-12,0.2632833931,0.2610058784,73.6684541047,73.6523895264
2010-03-15,0.2592730174,0.2592482865,73.6523895264,73.6523895264
2010-03-16,0.2617986127,0.2641502917,73.6523895264,73.6523895264
2010-03-17,0.2648926783,0.2659820020,73.6684541047,73.6523895264
2010-03-18,0.2668974373,0.2686797380,73.6523895264,73.6523895264
2010-03-19,0.2639269233,0.2639269233,73.6523895264,73.6523895264
2010-03-22,0.2608329077,0.2710561156,73.6524077078,73.6684722900
2010-03-23,0.2729124974,0.2767251730,73.6524077078,73.6684722900
2010-03-24,0.2747699117,0.2727889419,73.6523895264,73.6523895264
2010-03-25,0.2794475621,0.2710807920,73.6684385732,73.6845092773
2010-03-26,0.2749429256,0.2724923790,73.6684385732,73.6845092773
2010-03-29,0.2766016205,0.2762299478,73.6684541047,73.6523895264
2010-03-30,0.2785074742,0.2791262865,73.6684541047,73.6523895264
2010-03-31,0.2760074951,0.2753639519,73.6845092773,73.6845092773
2010-04-01,0.2784332905,0.2748192847,73.6523739983,73.6845092773
2010-04-05,0.2768239879,0.2827649415,73.6684541047,73.6523895264
2010-04-06,0.2806110151,0.2849189043,73.6684541047,73.6523895264
2010-04-07,0.2839532131,0.2833096981,73.6845248122,73.6523895264
2010-04-08,0.2804380722,0.2843248844,73.6523895264,73.6523895264
2010-04-09,0.2852650534,0.2894484401,73.6684541047,73.6523895264
2010-04-12,0.2904388001,0.2906118035,73.6523895264,73.6523895264
2010-04-13,0.2896717057,0.2949938476,73.6684541047,73.6523895264
2010-04-14,0.2992019086,0.3053900301,73.6523895264,73.6523895264
2010-04-15,0.3050687950,0.3094746172,73.6523895264,73.6523895264
2010-04-16,0.3062065629,0.2984586060,73.6523895264,73.6523895264
2010-04-19,0.2956620926,0.2979890406,73.6524077078,73.6684722900
2010-04-20,0.3026173352,0.3023949265,73.6523895264,73.6523895264
2010-04-21,0.3085335436,0.3077170253,73.6523895264,73.6523895264
2010-04-22,0.2987314040,0.3122720420,73.6523895264,73.6523895264
2010-04-23,0.3125687220,0.3164061010,73.6684541047,73.6523895264
2010-04-26,0.3166283961,0.3140542805,73.6524077078,73.6684722900
2010-04-27,0.3110096927,0.2946715951,73.6523895264,73.6523895264
2010-04-28,0.2992019668,0.2953645885,73.6524077078,73.6684722900
