strategy,latency_ns,queue_ahead_fraction,fee_multiplier,net_pnl,max_abs_inventory,fill_rate
fixed_spread,1000000,0.0,1.0,-285.9228183000241,98.0,0.012796587576646227
avellaneda_stoikov,1000000,0.0,1.0,-237.39400500002375,100.0,0.01977470608490334
queue_aware,1000000,0.0,1.0,-175.4443290000072,78.0,0.011069510011395084
toxicity_aware,1000000,0.0,1.0,-88.11140499998942,92.0,0.01261674586269048
latency_aware,1000000,0.0,1.0,-94.54925749998438,79.0,0.016604265017092626
fixed_spread,1000000,0.0,1.5,-270.6342274500512,98.0,0.012796587576646227
avellaneda_stoikov,1000000,0.0,1.5,-216.7110075001474,100.0,0.01977470608490334
queue_aware,1000000,0.0,1.5,-161.2514934999981,78.0,0.011069510011395084
toxicity_aware,1000000,0.0,1.5,-72.16710750000243,92.0,0.01261674586269048
latency_aware,1000000,0.0,1.5,-73.5188862499981,79.0,0.016604265017092626
fixed_spread,1000000,0.5,1.0,-295.9514478499582,99.5,0.011196332539892445
avellaneda_stoikov,1000000,0.5,1.0,-256.2807653500204,100.0,0.0160652030528597
queue_aware,1000000,0.5,1.0,-135.69576990002224,74.5,0.009360247436106138
toxicity_aware,1000000,0.5,1.0,-181.24945209999942,92.5,0.010117974766508275
latency_aware,1000000,0.5,1.0,-82.66359300002478,72.0,0.013511313690379294
fixed_spread,1000000,0.5,1.5,-282.68217177504266,99.5,0.011196332539892445
avellaneda_stoikov,1000000,0.5,1.5,-239.41614802506956,100.0,0.0160652030528597
queue_aware,1000000,0.5,1.5,-123.89615485001923,74.5,0.009360247436106138
toxicity_aware,1000000,0.5,1.5,-168.5216781499878,92.5,0.010117974766508275
latency_aware,1000000,0.5,1.5,-65.65288949998467,72.0,0.013511313690379294
fixed_spread,1000000,1.0,1.0,-158.714945599997,99.0,0.004242008741108921
avellaneda_stoikov,1000000,1.0,1.0,-218.3988494000223,100.0,0.004095040950409504
queue_aware,1000000,1.0,1.0,-92.19115390001753,84.0,0.0032150415106625427
toxicity_aware,1000000,1.0,1.0,-91.38848969998253,72.0,0.003255738238645613
latency_aware,1000000,1.0,1.0,25.123359199999868,59.0,0.0035813120625101742
fixed_spread,1000000,1.0,1.5,-153.89741840001807,99.0,0.004242008741108921
avellaneda_stoikov,1000000,1.0,1.5,-214.07827410003665,100.0,0.004095040950409504
queue_aware,1000000,1.0,1.5,-88.02173085001232,84.0,0.0032150415106625427
toxicity_aware,1000000,1.0,1.5,-87.32773454999915,72.0,0.003255738238645613
latency_aware,1000000,1.0,1.5,29.77003880000393,59.0,0.0035813120625101742
fixed_spread,5000000,0.0,1.0,-289.2867163000201,98.0,0.012714529607332195
