date,tqqq,qqq,bil
2010-04-12,0.2906118631,42.5895423889,73.6523742676
2010-04-13,0.2949939370,42.8065299988,73.6523742676
2010-04-14,0.3053900898,43.3186111450,73.6523742676
2010-04-15,0.3094746470,43.5095443726,73.6523742676
2010-04-16,0.2984586358,42.9887924194,73.6523742676
2010-04-19,0.2979890406,42.9627609253,73.6684188843
2010-04-20,0.3023948967,43.1797447205,73.6523742676
2010-04-21,0.3077170849,43.4227638245,73.6523742676
2010-04-22,0.3122721016,43.6657714844,73.6523742676
2010-04-23,0.3164061010,43.8480415344,73.6523742676
2010-04-26,0.3140543997,43.7525901794,73.6684188843
2010-04-27,0.2946716249,42.8238945007,73.6523742676
2010-04-28,0.2953645885,42.8499107361,73.6684188843
2010-04-29,0.3104403317,43.5963478088,73.6684188843
2010-04-30,0.2921470106,42.7371063232,73.6523742676
2010-05-03,0.3040782809,43.3359718323,73.6684188843
2010-05-04,0.2771957219,42.0340538025,73.6523742676
2010-05-05,0.2726406753,41.8170967102,73.6684188843
2010-05-06,0.2459310740,40.4197120667,73.6845474243
2010-05-07,0.2280340344,39.4128913879,73.6845474243
2010-05-10,0.2620458007,41.4612236023,73.6845474243
2010-05-11,0.2618727684,41.4178314209,73.6845474243
2010-05-12,0.2759827673,42.1989822388,73.6845474243
2010-05-13,0.2635067701,41.5306663513,73.6684188843
2010-05-14,0.2472922355,40.7321662903,73.6845474243
2010-05-17,0.2506343722,40.8623542786,73.6845474243
2010-05-18,0.2410547435,40.2981910706,73.6684188843
2010-05-19,0.2346926481,39.9770584106,73.6845474243
2010-05-20,0.2109535336,38.4928970337,73.6845474243
2010-05-21,0.2125875652,38.9181900024,73.6845474243
2010-05-24,0.2143451124,38.7619514465,73.6845474243
2010-05-25,0.2128346413,38.7966728210,73.6845474243
2010-05-26,0.2062501907,38.3626937866,73.7005691528
2010-05-27,0.2285786718,39.8121604919,73.6684188843
2010-05-28,0.2253848463,39.5778007507,73.6845474243
2010-06-01,0.2191472799,39.2132797241,73.6845474243
2010-06-02,0.2345691025,40.1419715881,73.7005691528
2010-06-03,0.2406583428,40.5238609314,73.6684188843
2010-06-04,0.2168945074,39.1351776123,73.7005691528
2010-06-07,0.2043195814,38.4234580994,73.6845474243
2010-06-08,0.2031808496,38.3540153503,73.7005691528
2010-06-09,0.1986999512,38.0329017639,73.7005691528
2010-06-10,0.2151863575,39.1178054810,73.7005691528
2010-06-11,0.2208060026,39.4910125732,73.7005691528
2010-06-14,0.2209296077,39.4823455811,73.6684188843
2010-06-15,0.2370690256,40.5412330627,73.6684188843
2010-06-16,0.2418465465,40.7061309814,73.6684188843
2010-06-17,0.2442723364,40.8363151550,73.6684188843
2010-06-18,0.2449405640,40.8702316284,73.6845474243
2010-06-21,0.2385043651,40.5224151611,73.6684188843
2010-06-22,0.2328609377,40.2093658447,73.6845474243
2010-06-23,0.2297421545,40.0441322327,73.6845474243
2010-06-24,0.2186026424,39.4354324341,73.6845474243
2010-06-25,0.2184543312,39.4432678223,73.6845474243
2010-06-28,0.2164980918,39.3038864136,73.6845474243
2010-06-29,0.1923388541,37.7878303528,73.6845474243
2010-06-30,0.1828332841,37.2127723694,73.7005691528
2010-07-01,0.1810510457,37.1082229614,73.6845474243
2010-07-02,0.1800605059,37.0036544800,73.6845474243
2010-07-06,0.1810015738,37.1169204712,73.6684188843
2010-07-07,0.1981058270,38.3018875122,73.6684188843
2010-07-08,0.2014479935,38.5109825134,73.6845474243
2010-07-09,0.2070923746,38.8769416809,73.6684188843
2010-07-12,0.2094440907,38.9902076721,73.6845474243
2010-07-13,0.2165979296,39.4955482483,73.6845474243
2010-07-14,0.2200626880,39.6959304810,73.6845474243
2010-07-15,0.2208307385,39.7307891846,73.6845474243
2010-07-16,0.2030573040,38.6329574585,73.6845474243
2010-07-19,0.2076370567,38.9640502930,73.6684188843
2010-07-20,0.2141968310,39.4345588684,73.6684188843
2010-07-21,0.2066959739,38.8943367004,73.6684188843
2010-07-22,0.2206320763,39.8789062500,73.6684188843
2010-07-23,0.2263753414,40.1315727234,73.6845474243
2010-07-26,0.2313505262,40.4626770020,73.6523742676
2010-07-27,0.2313010842,40.4452514648,73.6523742676
2010-07-28,0.2265730500,40.1228713989,73.6684188843
2010-07-29,0.2211767435,39.8266372681,73.6523742676
2010-07-30,0.2226871252,39.9137725830,73.6684188843
2010-08-02,0.2346679419,40.6630668640,73.6523742676
2010-08-03,0.2322421372,40.4888153076,73.6523742676
2010-08-04,0.2389502227,40.8983268738,73.6523742676
2010-08-05,0.2375395447,40.8024940491,73.6523742676
2010-08-06,0.2364255190,40.7414894104,73.6523742676
2010-08-09,0.2405594438,41.0203132629,73.6523742676
2010-08-10,0.2354597598,40.6630668640,73.6684188843
2010-08-11,0.2160779536,39.5565299988,73.6845474243
2010-08-12,0.2099877596,39.2428779602,73.6845474243
2010-08-13,0.2058043331,38.9640502930,73.6845474243
2010-08-16,0.2069678456,39.0337562561,73.6684188843
2010-08-17,0.2148403525,39.5303955078,73.6845474243
2010-08-18,0.2167709172,39.6872291565,73.6684188843
2010-08-19,0.2087995112,39.0860481262,73.6684188843
